algorithm,min_support,running_time,num_itemsets,comparison_count,subset_check_count,trie_insert_count
Apriori_k1km1,1650,0.20299983024597168,33,330,3590222,0
Apriori_km1km1,1650,0.1269986629486084,33,141711,1991656,0
Apriori_trie_improved,1650,0.19099950790405273,33,186,1991656,141525
Apriori_k1km1,1700,0.1910080909729004,29,290,3432986,0
Apriori_km1km1,1700,0.1249997615814209,29,141671,1939244,0
Apriori_trie_improved,1700,0.1890087127685547,29,146,1939244,141525
Apriori_k1km1,1750,0.19752836227416992,29,290,3432986,0
Apriori_km1km1,1750,0.126509428024292,29,141671,1939244,0
Apriori_trie_improved,1750,0.18499970436096191,29,146,1939244,141525
Apriori_k1km1,1800,0.206679105758667,29,290,3432986,0
Apriori_km1km1,1800,0.13650989532470703,29,141671,1939244,0
Apriori_trie_improved,1800,0.19000983238220215,29,146,1939244,141525
Apriori_k1km1,1850,0.1659998893737793,27,243,2725424,0
Apriori_km1km1,1850,0.10601949691772461,27,141649,1519948,0
Apriori_trie_improved,1850,0.1638495922088623,27,124,1519948,141525
Apriori_k1km1,1900,0.17217040061950684,27,243,2725424,0
Apriori_km1km1,1900,0.1240088939666748,27,141649,1519948,0
Apriori_trie_improved,1900,0.16200661659240723,27,124,1519948,141525
Apriori_k1km1,1950,0.13699674606323242,23,184,2017862,0
Apriori_km1km1,1950,0.08399724960327148,23,141614,1126858,0
Apriori_trie_improved,1950,0.14803791046142578,23,89,1126858,141525
Apriori_k1km1,2000,0.1250460147857666,23,184,2017862,0
Apriori_km1km1,2000,0.08886528015136719,23,141614,1126858,0
Apriori_trie_improved,2000,0.15221929550170898,23,89,1126858,141525
